Sr. No.,Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Tot Cases_per_1M pop,Deaths_per_1M pop,Total_Tests,Tests_per_1M pop,Population
83,Finland,371135,1724,46000,323411,66823,310,9042453,1628109,5553960
84,Armenia,347377,8018,333518,5841,116893,2698,2636398,887150,2971762
85,Kenya,317324,5488,281343,30493,5708,99,3143862,56554,55590559
86,Bosnia and Herzegovina,313185,13741,192218,107226,96382,4229,1549878,476970,3249423
87,Oman,311698,4119,301458,6121,58744,776,25000000,4711604,5306049
88,Bahrain,305414,1398,285305,18711,170402,780,8383186,4677287,1792318
89,Latvia,301654,4726,272104,24824,162695,2549,5774125,3114227,1854112
90,Qatar,295221,624,255431,39166,105143,222,3260304,1161158,2807805
91,Zambia,295028,3852,272317,18859,15387,201,3108808,162134,19174334
92,Singapore,290986,843,283057,7086,49144,142,21098774,3563324,5921094
93,Estonia,264701,1976,235680,27045,199337,1488,2641797,1989444,1327907
94,Nigeria,250628,3095,223765,23768,1171,14,3933209,18381,213985217
95,North Macedonia,243284,8092,219616,15576,116781,3884,1700555,816302,2083242
96,Botswana,237678,2514,226828,8336,98029,1037,2026898,835982,2424570
97,Albania,230940,3265,207266,20409,80384,1136,1571585,547026,2872963
98,Zimbabwe,225934,5243,206088,14603,14869,345,1930141,127021,15195472
99,Algeria,225484,6404,154447,64633,5003,142,230861,5123,45067726
100,Cyprus,223767,673,124370,98724,183284,551,9477138,7762578,1220875
101,Mozambique,218797,2123,180990,35684,6712,65,1181210,36234,32599712
102,Uzbekistan,204173,1513,198283,4377,5967,44,1377915,40273,34214741
103,Montenegro,202348,2466,185154,14728,322114,3926,1066660,1697995,628188
104,Kyrgyzstan,188813,2828,180862,5123,28225,423,1907195,285098,6689608
105,Afghanistan,158678,7378,145947,5353,3940,183,835235,20738,40274891
106,Uganda,157754,3394,98897,55463,3289,71,2258524,47094,47957881
107,Namibia,154257,3814,142111,8332,59066,1460,900235,344705,2611609
108,Ghana,153514,1343,143151,9020,4787,42,2158619,67311,32069303
109,Rwanda,124802,1403,45522,77877,9282,104,4294704,319422,13445249
110,Laos,124193,488,7660,116045,16697,66,945412,127109,7437829
111,El Salvador,123577,3832,116742,3003,18906,586,1557257,238239,6536539
112,Luxembourg,123340,934,101563,20843,192229,1456,3885408,6055537,641629
113,Cambodia,120773,3015,117089,669,7073,177,2779865,162807,17074619
114,Jamaica,110250,2522,67047,40681,36984,846,749891,251553,2981046
115,Cameroon,109666,1853,106050,1763,3979,67,1751774,63561,27560552
116,China,104745,4636,96658,3451,73,3,160000000,111163,1439323776
117,Maldives,102372,265,97217,4890,184397,477,1950964,3514155,555173
118,Réunion,102216,435,75943,25838,112929,481,1424291,1573562,905138
119,Trinidad and Tobago,100590,3180,80981,16429,71520,2261,541809,385229,1406458
120,Angola,93524,1857,83086,8581,2716,54,1331307,38661,34435308
121,Malawi,82506,2459,64879,15168,4148,124,513357,25811,19888958
122,DRC,82306,1225,50930,30151,878,13,846704,9032,93740451
123,Senegal,82271,1908,75328,5035,4722,110,952038,54648,17421393
124,Ivory Coast,79088,753,73648,4687,2888,28,1316977,48098,27381326
125,Guadeloupe,73959,753,2250,70956,184792,1881,723515,1807753,400229
126,Eswatini,67830,1357,65604,869,57550,1151,444611,377226,1178633
127,French Guiana,67275,348,11254,55673,216619,1121,533366,1717383,310569
128,Malta,63409,504,51739,11166,143022,1137,1211456,2732492,443352
129,Suriname,62734,1208,49134,12392,105486,2031,191892,322663,594714
130,Martinique,59583,795,104,58684,158966,2121,488892,1304349,374817
131,Fiji,59418,730,52896,5792,65551,805,485503,535619,906434
132,Madagascar,55138,1169,50381,3588,1916,41,352115,12233,28784078
133,Mauritania,54393,903,41310,12180,11244,187,632611,130777,4837308
134,Cabo Verde,53987,372,50172,3443,95506,658,400982,709362,565271
135,Sudan,50984,3358,40329,7297,1122,74,562941,12394,45421618
136,Syria,50674,2944,34394,13336,2791,162,146269,8057,18153516
137,Guyana,50121,1086,39302,9733,63253,1371,465971,588058,792389
138,French Polynesia,47009,636,N/A,N/A,165872,2244,N/A,N/A,283405
139,Gabon,45152,297,39532,5323,19577,129,1517236,657840,2306389
140,Iceland,44974,44,35260,9670,130492,128,1477841,4287960,344649
141,Belize,40612,608,32429,7575,99364,1488,418748,1024538,408719
142,Papua New Guinea,36435,596,35786,53,3957,65,249149,27060,9207416
143,Burundi,36257,38,773,35446,2916,3,345742,27805,12434355
144,Channel Islands,35903,122,31548,4233,203616,692,1161014,6584437,176327
